"","sample_sums(ps.decontam.filt)"
"Coral_46",260090
"Coral_47",122293
"Coral_48",97997
"Coral_49",216773
"Coral_50",128050
"Coral_51",88766
"Coral_52_2",226102
"Coral_53",50728
"Coral_54",71317
"Coral_55",158550
"Coral_56",155861
"Coral_57",65740
"Coral_58",74725
"Coral_59",194885
"Coral_60",96342
"Coral_61",51684
"Coral_62",195774
"TC_7",63517
"TC_8",125857
"Water_C_9",133655
"K_7",138670
"Mock_positive",253705
"Water_56",195019
"Water_57",95827
"Water_58",101232
"Water_59",262547
"Water_60",147941
"Water_61",323341
"Water_62",211350
"Water_63",132673
"Water_64",230200
"Water_65",98270
"Water_66",93126
"Water_67",133852
"Water_68",190634
"Water_69",28061
"Water_70",100288
"Water_71",97805
"Water_72",32958
"Water_73",214386
"Water_74",68653
"Water_75",130879
"Coral-10",17490
"Coral-13",9933
"Coral-16",13179
"Coral-17",14298
"Coral-19",12722
"Coral-20",14925
"Coral-21",13547
"Coral-22",10117
"Coral-23",10840
"Coral-25",12409
"Coral-27",16115
"Coral-28",22786
"Coral-3",15708
"Coral-30",28076
"Coral-31",25853
"Coral-32",26496
"Coral-33",24447
"Coral-34",22652
"Coral-36",25542
"Coral-38",16394
"Coral-39",19519
"Coral-4",11043
"Coral-41",18423
"Coral-42",18147
"Coral-43",15643
"Coral-44",12176
"Coral-45",23973
"Coral-5",13107
"Coral-51",11824
"Coral-6",18017
"Coral-7",11226
"Coral-8",18051
"Coral-9",12248
"MockEven",30530
"SW-10",66141
"SW-11",70797
"SW-12a",72157
"SW-12b",59244
"SW-13",52170
"SW-14",57589
"SW-15",78339
"SW-16",53420
"SW-17",65610
"SW-18",54510
"SW-19",49977
"SW-20",47580
"SW-21",55124
"SW-22",54442
"SW-23",68807
"SW-24",63460
"SW-25",64009
"SW-26duplicate",70695
"SW-27",60300
"SW-28",67402
"SW-29",66997
"SW-3",60962
"SW-30",67108
"SW-31",89793
"SW-32",72106
"SW-34duplicate",20944
"SW-35duplicate",65484
"SW-36",59969
"SW-37",75774
"SW-38",102704
"SW-39",74863
"SW-4",64952
"SW-40",71252
"SW-41",89981
"SW-42duplicate",33950
"SW-43",67203
"SW-44",64292
"SW-45",104470
"SW-46",57827
"SW-47",63998
"SW-48",85281
"SW-49",72571
"SW-5",65603
"SW-50",77067
"SW-52",74211
"SW-53",63944
"SW-54",70914
"SW-55",73885
"SW-6",67612
"SW-8",42183
"AB_A24",31495
"AB_B24",31613
"AB_C24",12813
"C_101",34308
"C_103",77605
"C_104",11841
"C_106",32688
"C_108",24758
"C_112",26798
"C_113",31140
"C_114",33980
"C_115",27500
"C_120",16601
"C_121",31588
"C_122",18459
"C_123",18058
"K_A24",16203
"C_102",28517
"Mock",288759
"water_100",288004
"water_76",32748
"water_77",39799
"water_78",22684
"water_79",42539
"water_80",26831
"water_81",31017
"water_82",25880
"water_83",35603
"water_84",29927
"water_86",27318
"water_87",30763
"water_90",28868
"water_91",22396
"water_92",195419
"water_94",25367
"water_95",26594
"water_96",38307
"water_97",26280
"water_98",16440
"water_99",21505
